,product_id,name,price,order_count,shop_id,shop_name,revenue
1565,116309194,Tai nghe AirPods Pro 2023 USB-C - Trắng,5890000.0,4,944721,FPT Shop Official Store,23560000.0
1566,116309193,Cáp sạc 240W USB-C Charge Cable (2 m) - Trắng,690000.0,0,944721,FPT Shop Official Store,0.0
1567,116309192,Loa Bluetooth Sony SRS-XB100 Extra Bass - Xám,1190000.0,0,944721,FPT Shop Official Store,0.0
1568,116309191,Loa Bluetooth Sony SRS-XB100 Extra Bass - Đen,1190000.0,0,944721,FPT Shop Official Store,0.0
1569,116309190,Loa Bluetooth Sony SRS-XB100 Extra Bass - Xanh,1190000.0,0,944721,FPT Shop Official Store,0.0
1570,116309189,Bút cảm ứng Apple Pencil (USB-C) - Trắng,1999000.0,0,944721,FPT Shop Official Store,0.0
1571,116309188,Tai nghe Samsung Galaxy Buds FE - Trắng,1690000.0,0,944721,FPT Shop Official Store,0.0
1572,116309187,Tai nghe Samsung Galaxy Buds FE - Đen,1690000.0,0,944721,FPT Shop Official Store,0.0
1573,116309186,Củ sạc nhanh 3 cổng Robot Ugreen GaN 65W USB-C chuẩn PD/PPS + USB-A - Đen,719000.0,0,944721,FPT Shop Official Store,0.0
1574,116303649,Nồi chiên không dầu 1.2 lít Mishio MK320 - Đen,499000.0,0,944721,FPT Shop Official Store,0.0
1575,116303584,Máy sấy quần áo Benny BD1500F,1090000.0,11,944721,FPT Shop Official Store,11990000.0
1576,116302165,Quạt hộp AC ABF01A125 - Xám,449000.0,0,944721,FPT Shop Official Store,0.0
1577,116302022,Máy lọc không khí mini KAP-C113 - Đen,790000.0,0,944721,FPT Shop Official Store,0.0
1578,116302018,Máy lọc không khí cá nhân KAP-P101W - Trắng,590000.0,0,944721,FPT Shop Official Store,0.0
1579,116302016,Máy lọc không khí cá nhân KAP-P103 - Bạc,569000.0,0,944721,FPT Shop Official Store,0.0
1580,116302014,Camera gi m s t IP 1080P Imou Ranger SE IPC A23P 2M   Tr ng,699000.0,0,944721,FPT Shop Official Store,0.0
1581,116302012,Camera gi m s t IP 2K EZVIZ CS H6C Pro 4MP   Tr ng,690000.0,0,944721,FPT Shop Official Store,0.0
1582,116302010,Bình đun siêu tốc thủy tinh Sunhouse 1.8L SHD1215B - Trắng - Trong suốt,279000.0,1,944721,FPT Shop Official Store,279000.0
1583,116302008,Bình đun siêu tốc inox 2 lớp 1.8L Sunhouse SHD1356 - Xanh,279000.0,0,944721,FPT Shop Official Store,0.0
1584,116302006,Ấm siêu tốc Hotwell 1.8L KE18H2 - Đen,349000.0,0,944721,FPT Shop Official Store,0.0
1585,116302004,Nồi cơm điện mini Tefal 0.7 lít RK224168 - Trắng,699000.0,0,944721,FPT Shop Official Store,0.0
1586,116302002,Nồi cơm điện nắp rời Sunhouse 2.2L SHD8135 - Nâu,699000.0,0,944721,FPT Shop Official Store,0.0
1587,116301999,Nồi cơm điện Hotwell 1.2L RC12H1 - Trắng,699000.0,0,944721,FPT Shop Official Store,0.0
1588,116301997,Nồi lẩu điện Mishio 4 lít MK-348 - Nâu,891000.0,0,944721,FPT Shop Official Store,0.0
1589,116301995,Nồi lẩu điện Sunhouse 3.5 lít SHD4528 - Xanh,499000.0,0,944721,FPT Shop Official Store,0.0
1590,116301993,Nồi lẩu điện Goldsun 5 lít GMC3002 - Trắng,549000.0,0,944721,FPT Shop Official Store,0.0
1591,116301991,Bàn ủi khô Sunhouse SHD2011 - Tím,299000.0,0,944721,FPT Shop Official Store,0.0
1592,116301988,Chảo sâu inox chống dính vân đá đáy từ Elmich Hera 20cm EL-8105 - Xanh,369000.0,0,944721,FPT Shop Official Store,0.0
1593,116301986,Chảo sâu inox chống dính vân đá đáy từ Elmich Hera 24cm EL-8106 - Xanh,449000.0,0,944721,FPT Shop Official Store,0.0
1594,116301984,Chảo sâu inox chống dính vân đá đáy từ Elmich Hera 26cm EL-8107 - Xanh,539000.0,0,944721,FPT Shop Official Store,0.0
